TargetFeature,Subject,Age,Ethnicity,Sex,Block,Trial,Lag,T1SPE,T2SPE,T2isT1,T1Pos,T2Pos,T1Resp,T2Resp,T1Conf,T2Conf,T1RespPos,T2RespPos,Stim1,Stim2,Stim3,Stim4,Stim5,Stim6,Stim7,Stim8,Stim9,Stim10,Stim11,Stim12,Stim13,Stim14,Stim15,Stim16,Stim17,Stim18,Stim19,Stim20,Stim21,Stim22,Stim23,Stim24,Stim25,Stim26
AnnulusColor,108,19,White/Caucasian,male,1,1,3,-6,-9,0,6,9,,,,,,,E,U,A,O,P,L,N,Y,S,Z,F,W,R,C,X,T,D,G,V,I,H,J,K,M,B,Q
AnnulusColor,108,19,White/Caucasian,male,1,2,3,-7,-10,0,7,10,,,,,,,O,G,D,Q,F,P,X,Z,I,T,V,W,L,J,B,E,Y,U,H,A,M,C,K,R,S,N
AnnulusColor,108,19,White/Caucasian,male,1,3,3,-8,-11,0,8,11,,,,,,,H,E,K,L,M,O,R,C,J,Q,A,S,Z,T,X,N,W,I,D,V,G,Y,P,B,U,F
AnnulusColor,108,19,White/Caucasian,male,1,4,9,-6,-15,0,6,15,,,,,,,H,C,Z,I,G,E,F,N,O,M,S,Q,X,Y,A,P,L,U,J,W,R,K,D,B,T,V
AnnulusColor,108,19,White/Caucasian,male,1,5,6,-8,-14,0,8,14,,,,,,,J,H,T,N,C,P,B,E,M,O,U,K,A,L,D,R,X,Y,Z,I,G,S,Q,F,V,W
AnnulusColor,108,19,White/Caucasian,male,1,6,1,-6,-7,0,6,7,,,,,,,F,O,H,P,K,N,W,I,G,L,U,X,J,V,D,S,C,Z,Q,M,R,E,T,B,Y,A
AnnulusColor,108,19,White/Caucasian,male,1,7,3,-9,-12,0,9,12,,,,,,,P,O,Q,B,S,D,J,M,R,N,L,U,A,Z,K,T,H,V,F,X,I,W,G,C,E,Y
AnnulusColor,108,19,White/Caucasian,male,1,8,6,-9,-15,0,9,15,,,,,,,I,G,T,Q,Y,R,C,N,L,A,E,D,X,F,H,K,J,W,S,V,O,Z,U,M,B,P
AnnulusColor,108,19,White/Caucasian,male,1,9,6,-10,-16,0,10,16,,,,,,,D,X,F,I,M,Y,S,E,P,V,Q,R,A,C,L,K,T,G,H,O,W,Z,N,J,U,B
AnnulusColor,108,19,White/Caucasian,male,1,10,1,-10,-11,0,10,11,,,,,,,Q,C,M,V,R,D,I,N,F,L,E,Z,X,U,T,Y,K,G,W,B,P,H,O,S,A,J
AnnulusColor,108,19,White/Caucasian,male,2,1,9,-1,1,0,8,17,L,X,1,2,7,18,Y,D,N,K,I,U,L,W,G,H,Z,Q,A,F,V,P,M,X,J,S,B,T,E,R,O,C
AnnulusColor,108,19,White/Caucasian,male,2,2,2,16,6,0,10,12,Y,V,1,1,26,18,N,L,C,B,Q,X,R,T,S,O,M,F,P,A,D,Z,G,V,W,I,U,K,H,J,E,Y
AnnulusColor,108,19,White/Caucasian,male,2,3,3,2,-2,0,6,9,V,W,1,2,8,7,I,O,P,A,N,U,W,V,G,D,K,L,Q,S,H,Z,B,X,R,J,C,Y,M,E,F,T
AnnulusColor,108,19,White/Caucasian,male,2,4,2,0,-6,0,7,9,I,G,1,1,7,3,J,Q,G,N,Z,M,I,O,X,A,V,C,F,S,K,L,H,U,P,D,T,W,E,B,Y,R
AnnulusColor,108,19,White/Caucasian,male,2,5,3,-5,7,0,10,13,E,I,1,2,5,20,Q,B,A,W,E,P,Y,R,L,H,D,S,O,F,J,N,K,M,Z,I,G,V,T,C,U,X
AnnulusColor,108,19,White/Caucasian,male,2,6,2,19,1,0,7,9,Z,X,1,2,26,10,V,A,Y,M,O,U,R,D,H,X,B,E,P,K,C,L,Q,W,S,G,J,F,I,T,N,Z
AnnulusColor,108,19,White/Caucasian,male,2,7,1,1,5,0,10,11,K,J,2,1,11,16,W,A,N,Q,Y,P,E,O,T,F,K,M,G,D,U,J,C,I,Z,V,R,X,S,B,H,L
AnnulusColor,108,19,White/Caucasian,male,2,8,1,0,16,0,6,7,W,O,2,1,6,23,Q,V,K,E,I,W,F,Y,L,U,P,H,Z,J,G,N,R,X,A,B,T,D,O,C,M,S
AnnulusColor,108,19,White/Caucasian,male,2,9,2,-2,14,0,9,11,H,F,1,2,7,25,R,N,E,S,I,V,H,U,Q,P,X,Y,T,K,B,M,C,D,O,Z,J,W,A,L,F,G
AnnulusColor,108,19,White/Caucasian,male,2,10,6,0,5,0,7,13,Q,R,2,2,7,18,K,E,F,J,Z,W,Q,O,H,X,D,G,M,T,L,N,S,R,V,C,B,U,I,P,Y,A
AnnulusColor,108,19,White/Caucasian,male,2,11,1,-1,-4,0,7,8,B,P,2,1,6,4,J,G,H,P,E,B,U,N,C,A,Y,X,K,L,Z,V,W,O,M,F,R,I,T,D,Q,S
AnnulusColor,108,19,White/Caucasian,male,2,12,2,-1,0,0,6,8,H,T,2,1,5,8,M,E,D,J,H,U,O,T,N,F,A,Y,L,P,Z,S,I,V,C,X,B,W,R,G,Q,K
AnnulusColor,108,19,White/Caucasian,male,2,13,9,-2,7,0,10,19,S,Q,2,2,8,26,H,T,F,A,B,K,M,S,L,J,V,N,C,U,G,D,I,E,W,R,Y,P,X,Z,O,Q
AnnulusColor,108,19,White/Caucasian,male,2,14,2,0,-3,0,8,10,N,S,2,1,8,7,Z,X,G,A,K,F,S,N,H,I,R,T,D,C,Q,L,E,W,Y,O,U,J,V,P,M,B
AnnulusColor,108,19,White/Caucasian,male,2,15,3,-3,-1,0,8,11,G,H,1,2,5,10,E,I,J,C,G,T,R,A,D,H,W,Y,U,S,Z,K,V,N,F,P,M,Q,X,L,O,B
AnnulusColor,108,19,White/Caucasian,male,2,16,9,0,2,0,9,18,J,M,2,1,9,20,I,S,Y,G,C,D,F,X,J,N,K,O,V,T,L,R,H,Q,B,M,E,P,A,Z,U,W
AnnulusColor,108,19,White/Caucasian,male,2,17,6,0,-11,0,8,14,Y,B,1,1,8,3,M,J,B,A,K,C,U,Y,E,Z,P,F,X,V,L,O,I,Q,W,G,N,T,S,D,R,H
AnnulusColor,108,19,White/Caucasian,male,2,18,3,-2,-3,1,10,13,B,G,2,2,8,10,J,P,T,S,Z,W,R,B,A,G,F,C,Q,L,O,E,H,U,I,K,N,V,Y,X,M,D
AnnulusColor,108,19,White/Caucasian,male,2,19,6,-2,-5,0,9,15,H,O,2,1,7,10,G,A,F,W,N,T,H,Z,J,O,D,M,V,E,X,S,U,L,R,Q,B,Y,C,I,P,K
AnnulusColor,108,19,White/Caucasian,male,2,20,6,0,-7,0,10,16,L,T,2,1,10,9,I,Z,G,P,Y,W,A,C,T,L,S,F,E,J,O,R,H,D,K,N,X,B,V,Q,M,U
AnnulusColor,108,19,White/Caucasian,male,2,21,3,0,4,0,6,9,J,M,1,1,6,13,X,Q,H,T,D,J,G,I,P,W,N,O,M,U,L,E,F,Z,R,B,S,Y,V,K,A,C
AnnulusColor,108,19,White/Caucasian,male,2,22,9,0,-10,0,7,16,X,J,1,2,7,6,V,S,Q,D,K,J,X,U,R,E,Z,T,L,P,A,C,F,I,B,H,N,W,O,M,Y,G
AnnulusColor,108,19,White/Caucasian,male,2,23,3,0,-7,0,9,12,W,M,2,1,9,5,V,Q,X,U,M,P,K,T,W,J,D,O,G,I,L,H,C,Y,S,N,A,B,R,Z,F,E
AnnulusColor,108,19,White/Caucasian,male,2,24,9,-1,1,0,7,16,T,E,1,3,6,17,X,Y,G,Z,W,T,F,L,U,I,D,S,P,V,B,K,E,M,H,J,O,R,N,Q,A,C
AnnulusColor,108,19,White/Caucasian,male,2,25,9,-1,1,0,10,19,L,V,1,2,9,20,R,Y,C,E,H,B,T,D,L,A,P,M,F,W,G,K,S,J,U,V,I,Q,N,X,O,Z
AnnulusColor,108,19,White/Caucasian,male,2,26,1,14,-1,1,6,7,B,H,1,1,20,6,N,J,K,D,Q,H,O,R,I,T,L,P,U,V,C,Y,E,A,G,B,Z,M,X,S,F,W
AnnulusColor,108,19,White/Caucasian,male,2,27,3,1,-5,0,8,11,O,F,2,1,9,6,X,Q,U,Z,E,F,I,D,O,A,Y,C,W,M,G,H,N,J,V,S,T,K,L,B,P,R
AnnulusColor,108,19,White/Caucasian,male,2,28,2,1,10,0,8,10,A,G,1,2,9,20,N,V,K,E,Z,L,S,D,A,T,U,R,B,W,Y,F,M,I,X,G,C,O,H,J,Q,P
AnnulusColor,108,19,White/Caucasian,male,2,29,1,-1,5,0,10,11,X,Y,2,1,9,16,R,W,A,E,N,U,G,Z,X,K,D,I,S,B,L,Y,M,F,C,T,Q,P,H,V,O,J
AnnulusColor,108,19,White/Caucasian,male,2,30,1,1,-1,1,8,9,Z,O,2,2,9,8,R,I,G,J,H,B,X,O,Z,M,D,E,T,S,W,K,L,N,V,F,Q,C,Y,U,P,A
AnnulusColor,108,19,White/Caucasian,male,2,31,6,2,4,0,9,15,B,A,1,1,11,19,U,F,J,W,X,D,I,E,N,O,B,C,H,K,S,V,T,L,A,Q,R,Y,Z,P,G,M
AnnulusColor,108,19,White/Caucasian,male,2,32,1,1,14,0,7,8,T,B,2,1,8,22,G,C,P,Z,E,F,V,T,S,H,O,N,Y,W,R,L,D,A,M,K,U,B,Q,X,I,J
AnnulusColor,108,19,White/Caucasian,male,2,33,9,-1,4,0,9,18,R,V,1,1,8,22,D,J,Y,X,S,Z,B,R,P,N,O,E,K,M,U,C,G,Q,T,L,I,V,A,H,W,F
AnnulusColor,108,19,White/Caucasian,male,2,34,1,0,-3,0,9,10,M,L,1,2,9,7,A,O,R,C,D,P,L,S,M,X,U,J,N,Q,Y,W,B,V,E,T,F,K,H,Z,G,I
AnnulusColor,108,19,White/Caucasian,male,2,35,6,2,-7,0,10,16,Z,M,1,2,12,9,R,H,S,J,G,Q,E,U,M,L,D,Z,P,W,Y,I,C,V,F,K,B,N,O,A,T,X
AnnulusColor,108,19,White/Caucasian,male,2,36,9,-1,3,0,8,17,D,P,2,2,7,20,R,J,F,E,C,M,D,A,W,Q,U,I,G,Y,H,S,Z,N,B,P,K,V,T,L,X,O
AnnulusColor,108,19,White/Caucasian,male,2,37,2,0,-1,0,6,8,A,Y,2,1,6,7,R,Q,S,F,G,A,Y,H,N,E,W,O,Z,D,L,X,K,V,M,C,I,J,P,T,U,B
AnnulusColor,108,19,White/Caucasian,male,2,38,3,11,3,0,7,10,Q,C,1,2,18,13,G,S,E,X,Y,U,P,K,D,J,M,V,C,T,H,W,N,Q,O,A,L,R,F,B,Z,I
AnnulusColor,108,19,White/Caucasian,male,2,39,1,1,-5,0,8,9,M,L,1,2,9,4,U,I,P,L,C,E,D,X,M,F,H,V,G,S,J,W,K,Y,N,T,A,R,B,Z,Q,O
AnnulusColor,108,19,White/Caucasian,male,2,40,6,-3,2,0,7,13,P,N,2,1,4,15,Y,Z,B,P,T,H,K,V,S,Q,A,E,D,X,N,M,O,W,L,R,J,C,G,F,U,I
AnnulusColor,108,19,White/Caucasian,male,2,41,1,-4,-1,1,9,10,K,H,1,1,5,9,Q,G,C,W,K,M,Z,X,H,O,R,T,P,F,B,D,L,U,J,E,N,A,V,Y,I,S
AnnulusColor,108,19,White/Caucasian,male,2,42,3,1,-9,0,7,10,I,V,1,2,8,1,V,G,N,U,T,Q,Y,I,C,R,E,Z,P,S,M,X,D,H,L,W,K,O,B,A,J,F
AnnulusColor,108,19,White/Caucasian,male,2,43,6,0,9,0,8,14,M,Z,1,1,8,23,W,O,X,R,K,J,Y,M,L,I,A,P,D,T,F,G,H,B,E,S,Q,C,Z,N,V,U
AnnulusColor,108,19,White/Caucasian,male,2,44,2,-1,11,0,9,11,B,S,1,2,8,22,R,H,I,W,G,L,D,B,M,Z,C,P,K,U,X,O,Q,T,A,J,E,S,N,F,Y,V
AnnulusColor,108,19,White/Caucasian,male,2,45,3,-4,-3,1,9,12,K,B,1,2,5,9,X,O,L,Z,K,A,P,F,B,V,R,Y,D,W,I,J,U,C,E,Q,S,T,G,H,M,N
AnnulusColor,108,19,White/Caucasian,male,2,46,2,10,11,0,10,12,X,V,1,2,20,23,M,P,K,F,Q,O,J,I,H,B,N,Y,R,E,A,T,W,U,G,X,Z,D,V,L,C,S
AnnulusColor,108,19,White/Caucasian,male,2,47,6,-1,0,0,6,12,B,K,2,1,5,12,A,E,S,V,B,C,R,T,G,F,D,K,P,M,Z,J,Y,U,N,X,Q,O,W,I,L,H
AnnulusColor,108,19,White/Caucasian,male,2,48,9,0,1,0,6,15,B,C,2,2,6,16,W,A,N,X,I,B,P,Z,H,L,Q,D,E,O,M,C,U,F,V,T,S,K,G,J,R,Y
AnnulusColor,108,19,White/Caucasian,male,2,49,9,-4,-10,0,6,15,I,H,1,2,2,5,U,I,T,Z,H,B,O,Y,W,N,C,L,F,X,D,V,S,E,A,P,M,Q,J,K,R,G
AnnulusColor,108,19,White/Caucasian,male,2,50,6,18,13,0,6,12,I,B,1,3,24,25,O,S,P,V,R,L,G,U,W,X,N,D,J,C,H,Q,T,M,A,Z,K,Y,E,I,B,F
AnnulusColor,108,19,White/Caucasian,male,3,1,2,5,-8,0,7,9,U,V,1,1,12,1,V,Z,A,B,J,Q,Y,D,N,X,T,U,G,R,W,E,M,H,O,S,I,K,F,P,C,L
AnnulusColor,108,19,White/Caucasian,male,3,2,3,7,13,0,10,13,I,P,1,2,17,26,O,X,U,L,E,M,R,V,B,Y,Q,A,F,Z,H,C,I,T,S,N,G,K,J,W,D,P
AnnulusColor,108,19,White/Caucasian,male,3,3,2,-1,12,0,10,12,X,Y,2,1,9,24,F,K,Q,Z,A,H,T,L,X,V,B,N,I,R,M,D,J,E,G,U,S,P,O,Y,W,C
AnnulusColor,108,19,White/Caucasian,male,3,4,6,0,12,0,8,14,L,M,1,2,8,26,J,H,F,X,R,G,W,L,Y,C,E,K,V,O,N,B,A,S,Z,Q,D,P,I,U,T,M
AnnulusColor,108,19,White/Caucasian,male,3,5,3,1,12,0,10,13,C,U,1,2,11,25,V,F,W,A,K,J,P,D,E,Y,C,L,O,Q,G,N,H,R,I,Z,X,S,T,M,U,B
AnnulusColor,108,19,White/Caucasian,male,3,6,9,0,3,0,6,15,X,H,2,2,6,18,M,L,P,K,N,X,T,O,Q,F,U,Y,I,E,C,Z,V,H,G,D,R,S,J,B,W,A
AnnulusColor,108,19,White/Caucasian,male,3,7,1,0,-10,0,9,10,P,,2,2,9,,G,U,T,Z,C,J,V,K,P,B,I,D,L,Q,R,Y,M,W,A,N,E,X,S,O,F,H
AnnulusColor,108,19,White/Caucasian,male,3,8,2,1,-2,1,10,12,L,N,2,2,11,10,F,I,Q,S,H,D,C,U,R,N,L,T,O,G,V,K,Y,B,P,J,M,A,X,Z,E,W
AnnulusColor,108,19,White/Caucasian,male,3,9,3,-3,-2,0,8,11,Q,G,1,2,5,9,E,Y,V,J,Q,B,K,N,G,H,A,M,I,U,R,X,Z,C,O,P,T,W,D,F,L,S
AnnulusColor,108,19,White/Caucasian,male,3,10,6,3,-10,0,10,16,N,U,2,1,13,6,F,C,O,Y,H,U,I,T,G,S,K,A,N,W,E,Q,D,L,V,X,M,P,R,J,B,Z
AnnulusColor,108,19,White/Caucasian,male,3,11,3,3,4,0,8,11,A,F,1,2,11,15,K,C,D,Y,M,T,G,Z,X,O,A,H,I,L,F,E,Q,B,V,W,S,U,J,R,P,N
AnnulusColor,108,19,White/Caucasian,male,3,12,1,-4,-4,0,6,7,E,I,2,2,2,3,F,E,I,W,V,O,U,P,S,K,Q,C,Y,R,G,H,N,L,M,T,X,D,B,Z,J,A
AnnulusColor,108,19,White/Caucasian,male,3,13,1,0,-8,0,8,9,T,R,2,2,8,1,R,N,O,J,X,Z,E,T,I,D,U,M,A,H,G,K,B,V,P,Y,F,C,S,Q,W,L
AnnulusColor,108,19,White/Caucasian,male,3,14,2,7,0,0,9,11,Y,A,1,1,16,11,V,H,B,D,U,J,C,G,E,X,A,Z,I,S,T,Y,R,Q,M,P,L,K,F,N,O,W
AnnulusColor,108,19,White/Caucasian,male,3,15,9,-2,4,0,10,19,W,T,2,3,8,23,M,N,S,Y,X,F,B,W,R,Q,C,P,O,E,H,G,J,Z,L,K,A,U,T,D,V,I
AnnulusColor,108,19,White/Caucasian,male,3,16,2,0,13,0,7,9,S,C,1,1,7,22,J,B,F,Y,H,W,S,I,T,X,O,R,N,K,M,Q,P,L,Z,A,E,C,U,G,V,D
AnnulusColor,108,19,White/Caucasian,male,3,17,3,-4,14,0,9,12,B,X,2,1,5,26,S,T,I,V,B,R,W,P,U,A,K,D,O,M,Y,F,Q,H,L,G,E,J,C,Z,N,X
AnnulusColor,108,19,White/Caucasian,male,3,18,6,2,-5,0,6,12,L,O,1,2,8,7,T,X,A,R,E,P,O,L,Q,F,W,I,D,C,V,U,N,K,J,G,B,Y,H,Z,M,S
AnnulusColor,108,19,White/Caucasian,male,3,19,9,6,-6,0,6,15,R,D,2,1,12,9,A,C,Z,E,Y,U,J,I,D,O,K,R,B,W,P,T,M,X,G,N,L,V,S,H,Q,F
AnnulusColor,108,19,White/Caucasian,male,3,20,1,13,-3,0,8,9,V,P,2,1,21,6,H,N,Y,X,F,P,S,B,G,L,R,M,C,K,W,D,O,J,U,I,V,T,Z,A,E,Q
AnnulusColor,108,19,White/Caucasian,male,3,21,9,-1,3,0,8,17,B,E,2,3,7,20,L,F,M,S,W,X,B,K,N,V,O,C,Q,Y,Z,R,D,H,G,E,I,J,A,P,U,T
AnnulusColor,108,19,White/Caucasian,male,3,22,6,0,-5,0,9,15,I,O,2,3,9,10,E,V,Z,N,U,F,P,D,I,O,R,H,M,C,X,T,S,L,G,K,W,B,Y,Q,A,J
AnnulusColor,108,19,White/Caucasian,male,3,23,9,-1,-11,0,7,16,S,G,2,2,6,5,I,A,Q,B,G,S,R,V,K,Y,O,Z,U,C,L,T,P,X,H,D,E,M,N,J,F,W
AnnulusColor,108,19,White/Caucasian,male,3,24,1,-1,-3,0,7,8,C,U,2,1,6,5,Z,H,Q,E,U,C,A,R,B,Y,D,O,S,T,M,W,P,X,N,J,F,L,K,G,I,V
AnnulusColor,108,19,White/Caucasian,male,3,25,6,-9,-14,0,10,16,L,I,1,1,1,2,L,I,O,N,S,E,A,W,D,R,P,B,J,X,K,Y,M,U,C,V,G,Z,Q,H,T,F
AnnulusColor,108,19,White/Caucasian,male,3,26,1,-2,-2,0,10,11,P,D,1,2,8,9,U,T,J,S,Z,O,B,P,D,Y,N,M,G,K,F,E,C,R,L,Q,H,W,I,V,X,A
AnnulusColor,108,19,White/Caucasian,male,3,27,2,1,-2,1,8,10,T,S,1,2,9,8,L,O,P,F,Q,D,N,S,T,E,Y,X,W,B,K,I,C,H,J,A,Z,V,U,G,M,R
AnnulusColor,108,19,White/Caucasian,male,3,28,9,0,1,0,8,17,E,X,2,1,8,18,T,U,B,I,Y,S,Z,E,G,N,C,J,K,H,L,A,Q,X,W,P,F,O,D,V,R,M
AnnulusColor,108,19,White/Caucasian,male,3,29,1,0,7,0,6,7,H,U,1,1,6,14,I,T,N,L,Q,H,C,A,E,M,G,Y,P,U,B,V,D,X,F,W,Z,R,J,K,O,S
AnnulusColor,108,19,White/Caucasian,male,3,30,3,-1,8,0,9,12,X,F,2,1,8,20,N,E,B,R,Q,K,M,X,H,G,D,T,L,S,J,Y,V,I,O,F,P,W,U,Z,C,A
AnnulusColor,108,19,White/Caucasian,male,3,31,2,-1,-11,0,9,11,J,,1,1,8,,M,O,L,Z,V,S,D,J,T,W,Y,K,A,F,R,U,C,P,G,Q,H,N,B,X,I,E
AnnulusColor,108,19,White/Caucasian,male,3,32,1,0,7,0,10,11,Y,I,2,1,10,18,P,X,Q,L,H,W,G,V,U,Y,O,S,T,N,J,C,R,I,E,A,F,K,B,Z,M,D
AnnulusColor,108,19,White/Caucasian,male,3,33,1,3,14,0,9,10,K,R,2,1,12,24,X,E,Q,I,O,V,S,P,Z,F,L,K,A,G,T,J,C,B,Y,H,M,D,W,R,U,N
AnnulusColor,108,19,White/Caucasian,male,3,34,3,5,0,0,7,10,M,X,1,2,12,10,G,K,I,R,P,B,W,D,N,X,Z,M,L,S,H,V,O,T,C,Y,U,J,F,E,A,Q
AnnulusColor,108,19,White/Caucasian,male,3,35,6,-1,3,0,7,13,M,E,2,2,6,16,X,K,N,C,U,M,F,A,B,G,V,T,Q,Y,W,E,L,H,J,S,R,O,I,Z,P,D
AnnulusColor,108,19,White/Caucasian,male,3,36,6,-1,0,0,8,14,I,K,2,1,7,14,R,W,Z,S,X,V,I,B,G,E,J,M,A,K,F,N,P,C,Y,L,H,O,U,D,T,Q
AnnulusColor,108,19,White/Caucasian,male,3,37,6,1,-11,0,9,15,L,O,1,2,10,4,S,U,R,O,J,H,Q,X,V,L,N,K,F,G,T,Y,C,D,P,W,M,A,E,B,I,Z
AnnulusColor,108,19,White/Caucasian,male,3,38,2,0,9,0,6,8,I,A,1,1,6,17,H,J,P,E,O,I,V,M,U,Z,G,Y,D,X,B,T,A,W,Q,K,S,R,C,F,N,L
AnnulusColor,108,19,White/Caucasian,male,3,39,9,1,-5,0,7,16,K,L,1,2,8,11,S,C,Q,I,N,P,G,K,H,V,L,B,U,F,E,R,M,O,W,Z,Y,A,J,X,D,T
AnnulusColor,108,19,White/Caucasian,male,3,40,3,12,7,0,6,9,L,S,1,3,18,16,B,U,D,X,G,H,O,M,K,W,I,Z,V,T,N,S,Q,L,R,C,J,A,Y,P,E,F
AnnulusColor,108,19,White/Caucasian,male,3,41,9,-2,-2,0,9,18,I,S,2,1,7,16,Y,Q,O,A,R,G,I,D,T,B,W,C,V,K,J,S,M,P,X,Z,E,L,F,U,H,N
AnnulusColor,108,19,White/Caucasian,male,3,42,6,1,3,0,6,12,J,E,3,1,7,15,X,M,U,B,T,V,J,O,F,S,H,L,G,I,E,K,Q,R,C,A,Z,D,W,N,Y,P
AnnulusColor,108,19,White/Caucasian,male,3,43,3,1,3,0,7,10,K,S,1,1,8,13,T,U,E,B,P,Q,F,K,N,L,Y,C,S,W,X,V,G,A,Z,R,H,M,I,O,J,D
AnnulusColor,108,19,White/Caucasian,male,3,44,9,-1,-4,0,9,18,H,G,1,2,8,14,V,W,C,D,X,Z,B,H,U,J,I,A,S,G,R,M,K,E,T,Y,Q,L,F,N,O,P
AnnulusColor,108,19,White/Caucasian,male,3,45,2,-1,-1,0,8,10,X,E,1,2,7,9,L,G,J,Y,P,R,X,Z,E,T,H,W,F,Q,O,B,M,K,V,S,U,A,I,D,N,C
AnnulusColor,108,19,White/Caucasian,male,3,46,3,-1,-2,0,6,9,V,T,1,2,5,7,O,H,X,I,V,Q,T,B,Z,K,R,W,E,F,U,Y,M,A,J,G,C,L,P,N,S,D
AnnulusColor,108,19,White/Caucasian,male,3,47,2,3,-1,0,6,8,M,O,1,2,9,7,E,P,F,X,D,C,O,H,M,L,J,N,S,A,T,G,R,B,Z,K,Y,W,U,I,V,Q
AnnulusColor,108,19,White/Caucasian,male,3,48,6,1,-2,0,7,13,K,F,,2,8,11,G,H,T,J,D,C,N,K,U,O,F,Q,B,W,E,R,Y,V,M,Z,S,X,P,A,L,I
AnnulusColor,108,19,White/Caucasian,male,3,49,1,-4,13,0,7,8,L,I,3,1,3,21,X,V,L,H,P,E,M,G,C,B,A,R,J,K,D,W,O,U,S,Q,I,Z,F,Y,T,N
AnnulusColor,108,19,White/Caucasian,male,3,50,9,0,0,0,10,19,N,I,1,1,10,19,Q,M,W,A,V,L,K,U,P,N,B,J,E,Y,Z,O,H,D,I,F,C,X,S,G,R,T
AnnulusColor,108,19,White/Caucasian,male,4,1,2,-6,-2,1,7,9,C,N,2,1,1,7,C,A,E,H,U,G,N,D,B,M,P,Y,Q,W,I,J,X,L,T,R,V,F,Z,S,O,K
AnnulusColor,108,19,White/Caucasian,male,4,2,9,-1,2,0,7,16,V,F,2,1,6,18,O,D,Q,H,K,V,E,P,T,M,J,L,W,G,C,R,N,F,U,Z,A,I,B,X,Y,S
AnnulusColor,108,19,White/Caucasian,male,4,3,3,0,-6,0,8,11,K,B,1,2,8,5,Z,N,L,D,B,F,A,K,J,S,M,P,T,U,Y,C,I,E,G,Q,X,V,H,W,O,R
AnnulusColor,108,19,White/Caucasian,male,4,4,3,-3,-5,0,10,13,H,I,1,2,7,8,K,O,B,N,D,M,H,I,F,L,E,V,U,J,Q,Z,S,Y,G,C,W,X,A,P,T,R
AnnulusColor,108,19,White/Caucasian,male,4,5,1,11,-1,1,10,11,A,S,1,2,21,10,X,O,P,R,J,Z,K,I,F,S,M,Y,E,N,V,H,D,C,Q,T,A,G,U,W,L,B
AnnulusColor,108,19,White/Caucasian,male,4,6,9,1,3,0,8,17,A,W,1,2,9,20,P,Y,H,B,Q,U,C,N,A,E,K,J,I,T,S,F,V,G,M,W,X,L,Z,R,D,O
AnnulusColor,108,19,White/Caucasian,male,4,7,6,0,3,0,10,16,X,B,2,3,10,19,T,Z,O,Q,N,Y,F,W,R,X,L,A,V,D,S,P,E,U,B,G,M,C,K,H,J,I
AnnulusColor,108,19,White/Caucasian,male,4,8,9,0,-14,0,9,18,S,M,1,2,9,4,J,L,K,M,G,A,N,Q,S,Z,X,D,P,U,Y,H,F,W,E,T,V,O,R,I,C,B
AnnulusColor,108,19,White/Caucasian,male,4,9,1,3,0,0,9,10,L,E,1,1,12,10,N,Y,P,M,R,C,F,W,I,E,A,L,V,Z,G,B,T,U,K,Q,S,D,X,H,O,J
AnnulusColor,108,19,White/Caucasian,male,4,10,2,-1,-10,0,10,12,T,Y,1,2,9,2,X,Y,C,J,B,W,V,H,T,O,U,D,R,S,Q,K,N,P,L,G,E,M,A,F,I,Z
AnnulusColor,108,19,White/Caucasian,male,4,11,1,-1,9,0,8,9,G,H,1,2,7,18,W,K,T,I,S,M,G,Q,E,D,V,U,X,Z,R,B,C,H,L,O,P,N,F,J,A,Y
AnnulusColor,108,19,White/Caucasian,male,4,12,1,0,-4,0,10,11,O,J,1,2,10,7,P,I,D,R,W,N,J,H,V,O,X,B,C,M,A,E,Q,T,F,L,Z,S,K,Y,U,G
AnnulusColor,108,19,White/Caucasian,male,4,13,9,1,2,0,7,16,L,O,2,2,8,18,J,I,D,Z,V,B,Y,L,N,U,S,K,E,C,F,A,T,O,P,H,Q,R,W,X,M,G
AnnulusColor,108,19,White/Caucasian,male,4,14,2,-5,0,0,9,11,B,R,2,3,4,11,C,L,Q,B,N,Y,A,J,M,Z,R,G,T,H,F,W,U,E,D,P,S,O,K,V,X,I
AnnulusColor,108,19,White/Caucasian,male,4,15,9,-1,9,0,6,15,Q,N,1,2,5,24,W,U,A,Z,Q,D,C,F,R,V,Y,P,T,X,J,S,B,G,I,H,E,L,M,N,K,O
AnnulusColor,108,19,White/Caucasian,male,4,16,1,1,-6,0,7,8,J,K,1,1,8,2,U,K,S,N,I,D,X,J,Y,P,V,H,Z,A,E,Q,T,W,O,R,B,L,G,M,F,C
AnnulusColor,108,19,White/Caucasian,male,4,17,6,-1,-5,0,7,13,W,A,1,2,6,8,V,I,E,Q,M,W,S,A,P,L,F,C,R,D,X,J,G,H,Z,K,B,T,N,O,U,Y
AnnulusColor,108,19,White/Caucasian,male,4,18,2,3,0,0,7,9,P,W,1,2,10,9,F,L,Y,N,V,X,D,K,W,P,M,U,E,J,S,G,O,B,Q,A,I,Z,R,H,T,C
AnnulusColor,108,19,White/Caucasian,male,4,19,1,-3,-3,0,7,8,E,G,2,2,4,5,W,F,N,E,G,X,A,K,Y,J,U,V,L,O,B,C,P,D,H,I,T,R,Z,Q,M,S
AnnulusColor,108,19,White/Caucasian,male,4,20,9,-1,-12,0,9,18,L,Q,1,1,8,6,V,S,C,D,P,Q,T,L,F,U,J,Y,R,K,Z,I,O,X,G,B,E,A,W,N,H,M
